date,code,name
2024-01-03,000595,*ST宝实
2024-01-03,000698,ST沈化
2024-01-03,000820,*ST节能
2024-01-03,000897,津滨发展
2024-01-03,000953,河化股份
2024-01-03,000993,闽东电力
2024-01-03,001217,华尔泰
2024-01-03,001332,锡装股份
2024-01-03,001339,智微智能
2024-01-03,002325,*ST洪涛
2024-01-03,002750,龙津退
2024-01-03,002771,真视通
2024-01-03,002819,东方中科
2024-01-03,002888,惠威科技
2024-01-03,002907,华森制药
2024-01-03,002975,博杰股份
2024-01-03,003015,日久光电
2024-01-03,003032,*ST传智
2024-01-03,300534,陇神戎发
2024-01-03,300622,博士眼镜
2024-01-03,300742,越博退
2024-01-03,600088,中视传媒
2024-01-03,600272,开开实业
2024-01-03,600593,大连圣亚
2024-01-03,600716,凤凰股份
2024-01-03,600792,云煤能源
2024-01-03,600805,悦达投资
2024-01-03,600825,新华传媒
2024-01-03,600844,金煤科技
2024-01-03,600892,*ST大晟
2024-01-03,603099,长白山
2024-01-03,603332,苏州龙杰
2024-01-03,603333,尚纬股份
2024-01-03,603530,神马电力
2024-01-03,603577,汇金通
2024-01-03,605011,杭州热电
2024-01-03,605118,力鼎光电
2024-01-03,605167,利柏特
2024-01-03,605488,福莱新材
2024-01-04,000078,海王生物
2024-01-04,000635,英力特
2024-01-04,000691,*ST亚太
2024-01-04,000820,*ST节能
2024-01-04,000829,天音控股
2024-01-04,001339,智微智能
2024-01-04,002178,延华智能
2024-01-04,002432,九安医疗
2024-01-04,002529,*ST海源
2024-01-04,002758,浙农股份
2024-01-04,002780,三夫户外
2024-01-04,002786,银宝山新
2024-01-04,002819,东方中科
2024-01-04,002888,惠威科技
2024-01-04,002981,朝阳科技
2024-01-04,003015,日久光电
2024-01-04,003025,思进智能
2024-01-04,003029,吉大正元
2024-01-04,300488,恒锋工具
2024-01-04,300729,乐歌股份
2024-01-04,300798,锦鸡股份
2024-01-04,301337,亚华电子
2024-01-04,600593,大连圣亚
2024-01-04,600805,悦达投资
