date,code,name
2025-01-02,000017,深中华A
2025-01-02,000417,合百集团
2025-01-02,000533,顺钠股份
2025-01-02,000619,海螺新材
2025-01-02,000716,黑芝麻
2025-01-02,000759,中百集团
2025-01-02,000882,华联股份
2025-01-02,000981,山子高科
2025-01-02,001314,亿道信息
2025-01-02,002112,三变科技
2025-01-02,002117,东港股份
2025-01-02,002127,南极电商
2025-01-02,002184,海得控制
2025-01-02,002187,广百股份
2025-01-02,002193,如意集团
2025-01-02,002245,蔚蓝锂芯
2025-01-02,002265,建设工业
2025-01-02,002269,美邦服饰
2025-01-02,002306,*ST云网
2025-01-02,002364,中恒电气
2025-01-02,002397,梦洁股份
2025-01-02,002418,康盛股份
2025-01-02,002495,佳隆股份
2025-01-02,002582,好想你
2025-01-02,002640,跨境通
2025-01-02,002693,*ST双成
2025-01-02,002697,红旗连锁
2025-01-02,002702,海欣食品
2025-01-02,002730,电光科技
2025-01-02,002778,中晟高科
2025-01-02,002918,蒙娜丽莎
2025-01-02,300323,华灿光电
2025-01-02,300570,太辰光
2025-01-02,300607,拓斯达
2025-01-02,300615,欣天科技
2025-01-02,300766,每日互动
2025-01-02,300945,曼卡龙
2025-01-02,300947,德必集团
2025-01-02,300959,线上线下
2025-01-02,301088,戎美股份
2025-01-02,600186,莲花控股
2025-01-02,600191,华资实业
2025-01-02,600255,鑫科材料
2025-01-02,600322,津投城开
2025-01-02,600327,大东方
2025-01-02,600530,交大昂立
2025-01-02,600579,中化装备
2025-01-02,600683,京投发展
2025-01-02,600693,东百集团
2025-01-02,600778,友好集团
2025-01-02,600811,*ST东方
2025-01-02,600824,益民集团
2025-01-02,600857,宁波中百
2025-01-02,600881,亚泰集团
2025-01-02,601010,文峰股份
2025-01-02,603068,博通集成
2025-01-02,603118,共进股份
2025-01-02,603215,比依股份
2025-01-02,603500,祥和实业
2025-01-02,603617,君禾股份
2025-01-02,603682,锦和商管
2025-01-02,603719,良品铺子
2025-01-02,603777,来伊份
2025-01-02,605033,美邦股份
2025-01-02,605080,浙江自然
2025-01-02,605299,舒华体育
