bs_code,name,target_date,buy_date,entry_px,exit_date,exit_px,exit_reason,ret,pnl,ret_sum_by_stock
sh.600010,包钢股份,2025-07-14,2025-07-14,2.2,2025-08-22,2.72,hold_30d_close,0.23576363636363634,0.23576363636363634,0.23576363636363634
sh.600026,中远海能,2025-09-09,2025-09-09,12.0,2025-10-28,12.13,hold_30d_close,0.010233333333333473,0.010233333333333473,0.010233333333333473
sh.600032,浙江新能,2025-04-07,2025-04-07,8.08625158,2025-05-21,7.77829851,hold_30d_close,-0.03868353808353815,-0.03868353808353815,-0.03868353808353815
sh.600033,福建高速,2025-11-26,2025-11-26,3.98324797,2026-01-08,4.08,hold_30d_close,0.023689733084330134,0.023689733084330134,-0.06991765741758862
sh.600033,福建高速,2025-12-03,2025-12-03,4.20069575,2026-01-15,3.81,hold_30d_close,-0.09360739050191876,-0.09360739050191876,-0.06991765741758862
sh.600053,九鼎投资,2025-08-12,2025-08-12,19.67,2025-09-22,17.7,hold_30d_close,-0.10075251652262336,-0.10075251652262336,-0.25180706197716873
sh.600053,九鼎投资,2026-01-08,2026-01-08,22.0,2026-02-13,18.69,hold_30d_close,-0.15105454545454539,-0.15105454545454539,-0.25180706197716873
sh.600056,中国医药,2025-09-19,2025-09-19,11.979216,2025-11-07,11.33,hold_30d_close,-0.05479519941872653,-0.05479519941872653,-0.05479519941872653
sh.600058,五矿发展,2025-08-25,2025-08-25,9.5,2025-10-13,9.29,hold_30d_close,-0.02270526315789485,-0.02270526315789485,-0.02270526315789485
sh.600059,古越龙山,2026-01-30,2026-01-30,10.61,2026-02-13,10.01,hold_30d_close,-0.0571504241281809,-0.0571504241281809,-0.0571504241281809
sh.600063,皖维高新,2026-02-09,2026-02-09,7.46,2026-02-13,6.89,hold_30d_close,-0.07700750670241292,-0.07700750670241292,-0.07700750670241292
sh.600076,康欣新材,2025-08-18,2025-08-18,2.88,2025-09-26,2.77,hold_30d_close,-0.03879444444444442,-0.03879444444444442,-0.03879444444444442
sh.600078,澄星股份,2025-10-10,2025-10-10,8.15,2025-11-20,12.69,hold_30d_close,0.5564552147239262,0.5564552147239262,0.5564552147239262
sh.600088,中视传媒,2026-02-11,2026-02-11,19.65,2026-02-13,17.79,hold_30d_close,-0.09525648854961828,-0.09525648854961828,-0.09525648854961828
sh.600089,特变电工,2025-09-18,2025-09-18,16.04,2025-11-06,25.44,hold_30d_close,0.5854349127182047,0.5854349127182047,0.5854349127182047
sh.600095,湘财股份,2025-06-25,2025-06-25,9.39,2025-08-05,10.88,hold_30d_close,0.15807944621938236,0.15807944621938236,0.16396092770086368
sh.600095,湘财股份,2025-06-26,2025-06-26,10.8,2025-08-06,10.87,hold_30d_close,0.005881481481481311,0.005881481481481311,0.16396092770086368
sh.600097,开创国际,2025-07-03,2025-07-03,11.44,2025-08-13,11.15,hold_30d_close,-0.02594965034965031,-0.02594965034965031,-0.14365288609695384
sh.600097,开创国际,2025-11-18,2025-11-18,12.98,2025-12-29,11.46,hold_30d_close,-0.11770323574730353,-0.11770323574730353,-0.14365288609695384
