mode,hold_n,tp,sl,trail,n,total_ret,avg_ret,median_ret,win_rate,p95,p05,max_ret,min_ret
hold,30,,,,1559,30.005013045428512,0.01924632010611194,-0.03142191780821908,0.3867864015394484,0.36766294524982307,-0.1736754396663063,4.906218181818181,-0.28603689320388354
fixed,30,2.0,0.25,,1559,25.657156308094212,0.016457444713338175,-0.03142191780821908,0.3867864015394484,0.36766294524982307,-0.17530524017467256,1.9994,-0.2506000000000001
fixed,30,0.75,0.25,,1559,24.25965106543495,0.015561033396686947,-0.03142191780821908,0.3867864015394484,0.3994055851212367,-0.17530524017467256,0.7494000000000002,-0.2506000000000001
fixed,30,0.45,0.25,,1559,23.89218509246087,0.015325327192085228,-0.03131017274472177,0.3887107119948685,0.44939999999999997,-0.17530524017467256,0.4494000000000002,-0.2506000000000001
fixed,30,0.65,0.25,,1559,23.798801675710703,0.015265427630346827,-0.03142191780821908,0.3867864015394484,0.44887585560714366,-0.17530524017467256,0.6494000000000001,-0.2506000000000001
fixed,30,0.65,0.25,,1559,23.798801675710703,0.015265427630346827,-0.03142191780821908,0.3867864015394484,0.44887585560714366,-0.17530524017467256,0.6494000000000001,-0.2506000000000001
fixed,30,0.4,0.25,,1559,23.699358995567223,0.015201641433975127,-0.03127484662576681,0.39063502245028864,0.3993999999999999,-0.17530524017467256,0.39940000000000014,-0.2506000000000001
fixed,30,0.95,0.25,,1559,23.692893116310586,0.015197493980956116,-0.03142191780821908,0.3867864015394484,0.3679880108125297,-0.17530524017467256,0.9494000000000001,-0.2506000000000001
fixed,30,2.0,0.2,,1559,23.315244957822014,0.014955256547672876,-0.032271554252199366,0.3855035279025016,0.36766294524982307,-0.20059999999999995,1.9994,-0.20060000000000006
fixed,30,0.8,0.25,,1559,23.17955896054471,0.014868222553267935,-0.03142191780821908,0.3867864015394484,0.3849968226706738,-0.17530524017467256,0.7994000000000002,-0.2506000000000001
fixed,30,0.9,0.25,,1559,23.06108729297634,0.014792230463743642,-0.03142191780821908,0.3867864015394484,0.3695044717603377,-0.17530524017467256,0.8994000000000001,-0.2506000000000001
fixed,30,0.2,0.25,,1559,22.968274587896907,0.014732696977483584,-0.01651511936339529,0.4490057729313663,0.19939999999999997,-0.17530524017467256,0.19939999999999997,-0.2506000000000001
fixed,30,0.55,0.25,,1559,22.83482235097019,0.014647095799211154,-0.03142191780821908,0.3867864015394484,0.5494,-0.17530524017467256,0.5494000000000002,-0.2506000000000001
fixed,30,0.85,0.25,,1559,22.749401235960338,0.014592303550968787,-0.03142191780821908,0.3867864015394484,0.3705277608419365,-0.17530524017467256,0.8494000000000003,-0.2506000000000001
fixed,30,0.7,0.25,,1559,22.746537902545274,0.0145904669034928,-0.03142191780821908,0.3867864015394484,0.4049375363335672,-0.17530524017467256,0.6994000000000001,-0.2506000000000001
fixed,30,0.5,0.25,,1559,22.23427121834021,0.014261880191366396,-0.03142191780821908,0.3867864015394484,0.4994,-0.17530524017467256,0.49940000000000023,-0.2506000000000001
fixed,30,0.3,0.25,,1559,21.930519310742795,0.01406704253415189,-0.029081012658227778,0.4028223220012829,0.29940000000000005,-0.17530524017467256,0.2994000000000003,-0.2506000000000001
fixed,30,0.75,0.2,,1559,21.917739715162753,0.01405884523102165,-0.032271554252199366,0.3855035279025016,0.3994055851212367,-0.20059999999999995,0.7494000000000002,-0.20060000000000006
fixed,30,0.45,0.2,,1559,21.550273742188676,0.013823139026419934,-0.03148803088803094,0.38742783835792177,0.44939999999999997,-0.20059999999999995,0.4494000000000002,-0.20060000000000006
fixed,30,0.65,0.2,,1559,21.456890325438508,0.013763239464681531,-0.032271554252199366,0.3855035279025016,0.44887585560714366,-0.20059999999999995,0.6494000000000001,-0.20060000000000006
fixed,30,0.65,0.2,,1559,21.456890325438508,0.013763239464681531,-0.032271554252199366,0.3855035279025016,0.44887585560714366,-0.20059999999999995,0.6494000000000001,-0.20060000000000006
fixed,30,0.4,0.2,,1559,21.357447645295032,0.013699453268309835,-0.03143391730903995,0.3893521488133419,0.3993999999999999,-0.20059999999999995,0.39940000000000014,-0.20060000000000006
fixed,30,0.95,0.2,,1559,21.35098176603839,0.013695305815290822,-0.032271554252199366,0.3855035279025016,0.3679880108125297,-0.20059999999999995,0.9494000000000001,-0.20060000000000006
fixed,30,0.35,0.25,,1559,21.155285823755474,0.013569779232684718,-0.03081582733812944,0.39320076972418216,0.3494000000000001,-0.17530524017467256,0.3494000000000003,-0.2506000000000001
fixed,30,0.8,0.2,,1559,20.837647610272523,0.013366034387602645,-0.032271554252199366,0.3855035279025016,0.3849968226706738,-0.20059999999999995,0.7994000000000002,-0.20060000000000006
fixed,30,0.9,0.2,,1559,20.719175942704144,0.013290042298078347,-0.032271554252199366,0.3855035279025016,0.3695044717603377,-0.20059999999999995,0.8994000000000001,-0.20060000000000006
fixed,30,0.55,0.2,,1559,20.492911000697994,0.013144907633545859,-0.032271554252199366,0.3855035279025016,0.5494,-0.20059999999999995,0.5494000000000002,-0.20060000000000006
fixed,30,0.85,0.2,,1559,20.40748988568814,0.01309011538530349,-0.032271554252199366,0.3855035279025016,0.3705277608419365,-0.20059999999999995,0.8494000000000003,-0.20060000000000006
fixed,30,0.7,0.2,,1559,20.404626552273076,0.013088278737827502,-0.032271554252199366,0.3855035279025016,0.4049375363335672,-0.20059999999999995,0.6994000000000001,-0.20060000000000006
fixed,30,0.2,0.2,,1559,20.371878359283674,0.013067272841105627,-0.017453932584269593,0.4470814624759461,0.19939999999999997,-0.20059999999999995,0.19939999999999997,-0.20060000000000006
fixed,30,0.15,0.25,,1559,19.992854505004463,0.012824152985891252,-0.0045344262295082365,0.48877485567671586,0.14939999999999992,-0.17447163587384681,0.14940000000000014,-0.2506000000000001
fixed,30,0.5,0.2,,1559,19.892359868068013,0.012759692025701099,-0.032271554252199366,0.3855035279025016,0.4994,-0.20059999999999995,0.49940000000000023,-0.20060000000000006
fixed,30,0.25,0.25,,1559,19.685625389716595,0.012627084919638612,-0.026714762835317107,0.413085311096857,0.2494,-0.17530524017467256,0.24940000000000023,-0.2506000000000001
hold,25,,,,1559,19.49729732160879,0.012506284362802303,-0.03349473684210531,0.3758819756254009,0.3297535316568202,-0.1677266485452533,4.26530909090909,-0.2637067961165049
