bs_code,name,target_date,buy_date,entry_px,exit_date,exit_px,exit_reason,ret,pnl,ret_sum_by_stock
sh.600076,康欣新材,2025-08-18,2025-08-18,2.88,2025-09-26,2.77,hold_30d_close,-0.03879444444444442,-0.03879444444444442,-0.03879444444444442
sh.600168,武汉控股,2025-10-22,2025-10-22,6.18,2025-12-02,5.25,hold_30d_close,-0.1510854368932038,-0.1510854368932038,-0.1510854368932038
sh.600367,红星发展,2025-09-08,2025-09-08,19.7672904,2025-10-27,16.03,hold_30d_close,-0.18966437475112924,-0.18966437475112924,-0.18966437475112924
sh.600422,昆药集团,2025-02-12,2025-02-12,17.4489913,2025-03-25,16.7435857,hold_30d_close,-0.041026726558113305,-0.041026726558113305,-0.041026726558113305
sh.600429,三元股份,2025-11-11,2025-11-11,6.02,2025-11-20,5.46,trailing_stop,-0.09362325581395343,-0.09362325581395343,-0.09362325581395343
sh.600435,北方导航,2025-06-26,2025-06-26,14.29,2025-08-06,18.1,hold_30d_close,0.2660200139958015,0.2660200139958015,0.2660200139958015
sh.600477,杭萧钢构,2025-11-12,2025-11-12,3.2,2025-12-23,2.63,hold_30d_close,-0.17872500000000008,-0.17872500000000008,-0.17872500000000008
sh.600508,上海能源,2025-10-24,2025-10-24,13.52,2025-12-04,12.37,hold_30d_close,-0.08565917159763321,-0.08565917159763321,-0.08565917159763321
sh.600629,华建集团,2025-07-21,2025-07-21,10.32,2025-08-29,15.15,hold_30d_close,0.46742325581395344,0.46742325581395344,0.46742325581395344
sh.600703,三安光电,2025-08-21,2025-08-21,15.29,2025-10-09,16.24,hold_30d_close,0.061532112491824595,0.061532112491824595,0.061532112491824595
sh.600740,山西焦化,2025-10-24,2025-10-24,4.48,2025-12-04,3.99,hold_30d_close,-0.109975,-0.109975,-0.109975
sh.600763,通策医疗,2025-07-25,2025-07-25,47.0,2025-09-04,45.14,hold_30d_close,-0.040174468085106343,-0.040174468085106343,-0.040174468085106343
sh.600831,广电网络,2025-11-12,2025-11-12,5.66,2025-12-05,4.245,trailing_stop,-0.2506,-0.2506,-0.2506
sh.600865,百大集团,2025-09-05,2025-09-05,10.47,2025-10-24,9.46,hold_30d_close,-0.09706609360076408,-0.09706609360076408,-0.09706609360076408
sh.600877,电科芯片,2025-08-12,2025-08-12,13.9,2025-09-22,14.09,hold_30d_close,0.013069064748201398,0.013069064748201398,0.013069064748201398
sh.601208,东材科技,2025-07-07,2025-07-07,11.03980176,2025-08-15,19.15026984,hold_30d_close,0.7340570397111913,0.7340570397111913,0.7340570397111913
sh.601326,秦港股份,2025-10-29,2025-10-29,4.02,2025-12-09,3.52,hold_30d_close,-0.1249781094527362,-0.1249781094527362,-0.1249781094527362
sh.601619,嘉泽新能,2025-03-20,2025-03-20,3.690533,2025-05-06,3.6042608,hold_30d_close,-0.023976623376623273,-0.023976623376623273,-0.0789914077708738
sh.601619,嘉泽新能,2025-09-12,2025-09-12,4.80204889,2025-10-20,4.540746435,trailing_stop,-0.05501478439425052,-0.05501478439425052,-0.0789914077708738
sh.601788,光大证券,2025-08-25,2025-08-25,20.867616,2025-10-13,18.61192608,hold_30d_close,-0.10869523809523814,-0.10869523809523814,-0.10869523809523814
sh.601868,中国能建,2025-07-22,2025-07-22,2.77628,2025-09-01,2.43,hold_30d_close,-0.12532805336637504,-0.12532805336637504,-0.12532805336637504
sh.601888,中国中免,2025-07-25,2025-07-25,71.99265144,2025-09-04,67.536723,hold_30d_close,-0.06249421212960411,-0.06249421212960411,-0.06249421212960411
sh.601929,吉视传媒,2025-08-05,2025-08-05,2.33,2025-09-15,6.14,hold_30d_close,1.6345931330472103,1.6345931330472103,1.6345931330472103
sh.603025,大豪科技,2025-08-18,2025-08-18,17.17,2025-09-26,16.86,hold_30d_close,-0.018654746651135822,-0.018654746651135822,-0.018654746651135822
sh.603030,全筑股份,2025-09-16,2025-09-16,3.27,2025-11-04,3.89,hold_30d_close,0.1890024464831805,0.1890024464831805,0.1890024464831805
sh.603103,横店影视,2025-07-17,2025-07-17,17.97967868,2025-08-27,16.64160998,hold_30d_close,-0.07502116868798243,-0.07502116868798243,-0.07502116868798243
sh.603111,康尼机电,2025-08-26,2025-08-26,7.47,2025-10-14,8.11,hold_30d_close,0.08507603748326635,0.08507603748326635,0.08507603748326635
sh.603169,兰石重装,2025-03-26,2025-03-26,6.7,2025-04-21,7.74,trailing_stop,0.15462388059701498,0.15462388059701498,0.15462388059701498
sh.603257,中国瑞林,2025-09-02,2025-09-02,63.9,2025-10-21,69.47,hold_30d_close,0.0865674491392802,0.0865674491392802,0.0865674491392802
sh.603312,西典新能,2025-04-01,2025-04-01,39.10659126,2025-05-16,37.67870529,hold_30d_close,-0.037112667660208556,-0.037112667660208556,-0.037112667660208556
sh.603316,诚邦股份,2025-09-01,2025-09-01,10.29,2025-10-20,12.99,hold_30d_close,0.26179067055393607,0.26179067055393607,0.26179067055393607
sh.603327,福蓉科技,2025-07-09,2025-07-09,10.17,2025-08-19,10.13,hold_30d_close,-0.004533136676499416,-0.004533136676499416,-0.004533136676499416
sh.603333,尚纬股份,2026-01-09,2026-01-09,9.2,2026-02-13,8.03,hold_30d_close,-0.12777391304347824,-0.12777391304347824,-0.12777391304347824
sh.603353,和顺石油,2025-06-16,2025-06-16,19.1296704,2025-07-25,16.50930409,hold_30d_close,-0.13757916666666653,-0.13757916666666653,-0.13757916666666653
sh.603395,红四方,2025-08-29,2025-08-29,39.18,2025-10-17,33.61,hold_30d_close,-0.1427643695763145,-0.1427643695763145,-0.1427643695763145
