mode,hold_n,tp,sl,trail,n,total_ret,avg_ret,median_ret,win_rate,p95,p05,max_ret,min_ret
trail,30,3.0,,0.25,101,2.0987586954239004,0.020779789063602973,-0.02417414448669204,0.38613861386138615,0.2862719611021071,-0.16673418530351442,1.6345931330472103,-0.2506
trail,30,0.9,,0.25,101,1.7464971373415579,0.0172920508647679,-0.02417414448669204,0.38613861386138615,0.2862719611021071,-0.16673418530351442,0.8993999999999999,-0.2506
hold,30,,,,101,1.729969840658316,0.017128414263943723,-0.03131017274472177,0.37623762376237624,0.3134655105973027,-0.16673418530351442,1.6345931330472103,-0.2391159010600708
fixed,30,3.0,0.25,,101,1.718485741718387,0.017014710314043436,-0.03131017274472177,0.37623762376237624,0.3134655105973027,-0.16673418530351442,1.6345931330472103,-0.2506
trail,25,3.0,,0.25,101,1.6852613801485354,0.01668575623909441,-0.02162102102102099,0.39603960396039606,0.2551803468208093,-0.14940952380952383,1.3470394849785405,-0.2506
trail,25,0.9,,0.25,101,1.6205534701348627,0.016045083862721413,-0.02162102102102099,0.39603960396039606,0.2551803468208093,-0.14940952380952383,0.8993999999999999,-0.2506
trail,30,0.85,,0.25,101,1.5964971373415584,0.01580690234991642,-0.02417414448669204,0.38613861386138615,0.2862719611021071,-0.16673418530351442,0.8494,-0.2506
fixed,30,0.9,0.25,,101,1.5818394839124628,0.015661777068440224,-0.03131017274472177,0.37623762376237624,0.3134655105973027,-0.16673418530351442,0.8993999999999999,-0.2506
fixed,30,3.0,0.2,,101,1.5515313618658566,0.015361696652137194,-0.033822591362126134,0.37623762376237624,0.3134655105973027,-0.17872500000000008,1.6345931330472103,-0.20059999999999995
fixed,25,0.2,0.2,,101,1.5105295797449543,0.014955738413316379,-0.01448888888888895,0.45544554455445546,0.19939999999999997,-0.14756485623003196,0.19939999999999997,-0.20059999999999995
fixed,30,0.2,0.2,,101,1.5095410458203273,0.014945950948716112,-0.007329475100942128,0.45544554455445546,0.19939999999999997,-0.16673418530351442,0.19939999999999997,-0.20059999999999995
fixed,25,0.2,0.25,,101,1.4956670757315067,0.01480858490823274,-0.01448888888888895,0.45544554455445546,0.19939999999999997,-0.14756485623003196,0.19939999999999997,-0.2506
fixed,30,0.2,0.25,,101,1.4890740420250594,0.014743307346782766,-0.007329475100942128,0.45544554455445546,0.19939999999999997,-0.16673418530351442,0.19939999999999997,-0.2506
trail,30,0.2,,0.25,101,1.475242376339362,0.014606360161775862,-0.007329475100942128,0.45544554455445546,0.19939999999999997,-0.16673418530351442,0.19939999999999997,-0.2506
trail,25,0.85,,0.25,101,1.4705534701348633,0.014559935347869934,-0.02162102102102099,0.39603960396039606,0.2551803468208093,-0.14940952380952383,0.8494,-0.2506
trail,25,0.2,,0.25,101,1.4688866166379222,0.01454343184790022,-0.01448888888888895,0.45544554455445546,0.19939999999999997,-0.14940952380952383,0.19939999999999997,-0.2506
trail,25,0.65,,0.25,101,1.4499716792707322,0.014356155240304279,-0.02162102102102099,0.39603960396039606,0.40928372093023263,-0.14940952380952383,0.6493999999999999,-0.2506
trail,30,0.8,,0.25,101,1.446497137341558,0.014321753835064932,-0.02417414448669204,0.38613861386138615,0.2862719611021071,-0.16673418530351442,0.7994,-0.2506
fixed,30,0.85,0.25,,101,1.4318394839124633,0.014176628553588746,-0.03131017274472177,0.37623762376237624,0.3134655105973027,-0.16673418530351442,0.8494,-0.2506
fixed,30,0.9,0.2,,101,1.4148851040599322,0.014008763406533982,-0.033822591362126134,0.37623762376237624,0.3134655105973027,-0.17872500000000008,0.8993999999999999,-0.20059999999999995
trail,25,0.8,,0.25,101,1.3205534701348631,0.013074786833018447,-0.02162102102102099,0.39603960396039606,0.2551803468208093,-0.14940952380952383,0.7994,-0.2506
trail,30,0.65,,0.25,101,1.306059750809558,0.012931284661480772,-0.02417414448669204,0.38613861386138615,0.46742325581395344,-0.16673418530351442,0.6493999999999999,-0.2506
trail,30,0.75,,0.25,101,1.2964971373415586,0.01283660532021345,-0.02417414448669204,0.38613861386138615,0.2862719611021071,-0.16673418530351442,0.7494000000000002,-0.2506
fixed,30,0.8,0.25,,101,1.281839483912463,0.012691480038737256,-0.03131017274472177,0.37623762376237624,0.3134655105973027,-0.16673418530351442,0.7994,-0.2506
